customer_id,store_id,first_name,last_name,email,address_id,activebool,create_date,last_update,active
1,1,Mary,Smith,mary.smith@sakilacustomer.org,5,True,2006-02-14,2013-05-26 14:49:45.738,1
2,1,Patricia,Johnson,patricia.johnson@sakilacustomer.org,6,True,2006-02-14,2013-05-26 14:49:45.738,1
3,1,Linda,Williams,linda.williams@sakilacustomer.org,7,True,2006-02-14,2013-05-26 14:49:45.738,1
5,1,Elizabeth,Brown,elizabeth.brown@sakilacustomer.org,9,True,2006-02-14,2013-05-26 14:49:45.738,1
7,1,Maria,Miller,maria.miller@sakilacustomer.org,11,True,2006-02-14,2013-05-26 14:49:45.738,1
10,1,Dorothy,Taylor,dorothy.taylor@sakilacustomer.org,14,True,2006-02-14,2013-05-26 14:49:45.738,1
12,1,Nancy,Thomas,nancy.thomas@sakilacustomer.org,16,True,2006-02-14,2013-05-26 14:49:45.738,1
15,1,Helen,Harris,helen.harris@sakilacustomer.org,19,True,2006-02-14,2013-05-26 14:49:45.738,1
17,1,Donna,Thompson,donna.thompson@sakilacustomer.org,21,True,2006-02-14,2013-05-26 14:49:45.738,1
19,1,Ruth,Martinez,ruth.martinez@sakilacustomer.org,23,True,2006-02-14,2013-05-26 14:49:45.738,1
21,1,Michelle,Clark,michelle.clark@sakilacustomer.org,25,True,2006-02-14,2013-05-26 14:49:45.738,1
22,1,Laura,Rodriguez,laura.rodriguez@sakilacustomer.org,26,True,2006-02-14,2013-05-26 14:49:45.738,1
25,1,Deborah,Walker,deborah.walker@sakilacustomer.org,29,True,2006-02-14,2013-05-26 14:49:45.738,1
28,1,Cynthia,Young,cynthia.young@sakilacustomer.org,32,True,2006-02-14,2013-05-26 14:49:45.738,1
30,1,Melissa,King,melissa.king@sakilacustomer.org,34,True,2006-02-14,2013-05-26 14:49:45.738,1
32,1,Amy,Lopez,amy.lopez@sakilacustomer.org,36,True,2006-02-14,2013-05-26 14:49:45.738,1
37,1,Pamela,Baker,pamela.baker@sakilacustomer.org,41,True,2006-02-14,2013-05-26 14:49:45.738,1
